Building_Name,Building_Type,Is_Real_Building,Project_Context,Building_Level,Zone_ID,Zone_Name,Zone_X_Min,Zone_Y_Min,Zone_X_Max,Zone_Y_Max,Zone_Center_X,Zone_Center_Y,Zone_Function,Layout_Note
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,Front-of-house reception and entry area,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 1,Z2,Workspace,36.0,12.0,64.0,44.0,50.0,28.0,Primary staff workspace or open office area,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 1,Z3,MeetingRoom,66.0,12.0,94.0,44.0,80.0,28.0,Enclosed meeting or collaboration room,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 1,Z4,Pantry,6.0,56.0,34.0,88.0,20.0,72.0,Pantry or kitchen break area,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 1,Z5,Corridor,36.0,56.0,64.0,88.0,50.0,72.0,Main corridor or circulation path,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 1,Z6,ExitArea,66.0,56.0,94.0,88.0,80.0,72.0,Exit or evacuation holding area,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 2,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,Front-of-house reception and entry area,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 2,Z2,Workspace,36.0,12.0,64.0,44.0,50.0,28.0,Primary staff workspace or open office area,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 2,Z3,MeetingRoom,66.0,12.0,94.0,44.0,80.0,28.0,Enclosed meeting or collaboration room,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 2,Z4,Pantry,6.0,56.0,34.0,88.0,20.0,72.0,Pantry or kitchen break area,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 2,Z5,Corridor,36.0,56.0,64.0,88.0,50.0,72.0,Main corridor or circulation path,Same abstract zone layout is reused across Level 1 and Level 2.
Synthetic Privacy-First AI Prototype Building,Generic office/university-style building,No,"Prototype context for Centre for Technology and Infusion, La Trobe University",Level 2,Z6,ExitArea,66.0,56.0,94.0,88.0,80.0,72.0,Exit or evacuation holding area,Same abstract zone layout is reused across Level 1 and Level 2.
